ID,order,family,specie,y,x
959,Actinopterygii,Siluriformes,Trichomycterus,"-22,5558","-42,9614"
2794,Actinopterygii,Siluriformes,Neoplecostomus,"-22,4779","-42,6206"
1107,Insecta,Odonata,Erythrodiplax,"-22,959","-43,2774"
1292,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9375","-42,7862"
3853,Odonata,Aeshnidae,Anax concolor,"-22,4246","-42,744"
2629,Actinopterygii,Siluriformes,Pareiorhaphis,"-22,4972","-42,9939"
963,Actinopterygii,Siluriformes,Trichomycterus,"-22,5619","-43,3894"
2935,Actinopterygii,Siluriformes,Ancistrus,"-22,6122","-43,4181"
6526,Siluriformes,Heptapteridae,Sem informação,"-22,8125","-42,6569"
4874,Characiformes,Characidae,Mimagoniates microlepis,"-22,4489","-42,7717"
3836,Odonata,Aeshnidae,Gynacantha mexicana,"-22,4689","-42,7611"
1056,Insecta,Odonata,Forcepsioneura,"-22,9621","-43,289"
3309,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,9375","-42,7862"
2002,Actinopterygii,Characiformes,Hoplias,"-22,6136","-43,2281"
1298,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9375","-42,7862"
6521,Siluriformes,Loricariidae,Hypostomus punctatus,"-22,5914","-43,0908"
73,Trichoptera,Hydropsychidae,Macrostemum diagramma,"-22,9488","-43,286"
1004,Insecta,Odonata,Hetaerina,"-22,959","-43,2774"
2925,Actinopterygii,Siluriformes,Kronichthys,"-22,5792","-43,4342"
6435,Siluriformes,Loricariidae,Parotocinclus maculicauda,"-22,4356","-42,7589"
4719,Characiformes,Characidae,Astyanax hastatus,"-22,9694","-43,4314"
1068,Insecta,Odonata,Acanthagrion,"-22,959","-43,2774"
966,Actinopterygii,Siluriformes,Trichomycterus,"-22,5831","-43,4694"
3274,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,951","-42,8133"
1478,Actinopterygii,Atheriniformes,Atherinella,"-22,951","-42,8133"
713,Diptera,Chironomidae,Sem Informações,"-22,9489","-43,2858"
3755,Odonata,Aeshnidae,Gynacantha nervosa,"-22,453","-42,7708"
6649,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,9539","-43,49"
5711,Characiformes,Crenuchidae,Sem informação,"-22,4942","-42,9981"
1175,Insecta,Odonata,Perithemis,"-22,453","-42,772"
2240,Actinopterygii,Siluriformes,Rhamdia,"-22,5869","-43,4072"
1092,Insecta,Odonata,Macrothemis,"-22,9661","-43,289"
1503,Actinopterygii,Atheriniformes,Atherinella,"-22,943","-42,7323"
