OBJECTID_1,ID,Ordem,Familia,Especie,X,Y
1972,2011,Actinopterygii,Characiformes,Hoplias,"-21,9071","-41,7129"
2388,2431,Actinopterygii,Siluriformes,Pimelodella,"-22,712","-43,8821"
2743,2793,Actinopterygii,Siluriformes,Parotocinclus,"-21,1917","-41,5558"
5082,5194,Characiformes,Characidae,Hyphessobrycon luetkenii,"-22,287","-41,7147"
2220,2260,Actinopterygii,Siluriformes,Pimelodella,"-22,2322","-41,9372"
1682,1717,Actinopterygii,Siluriformes,Scleromystax,"-22,5216","-42,6301"
2571,2618,Actinopterygii,Siluriformes,Hemipsilichthys,"-22,4486","-42,9835"
2876,2941,Actinopterygii,Siluriformes,Parotocinclus,"-22,6122","-43,4017"
2906,2973,Actinopterygii,Siluriformes,Pimelodus,"-21,5772","-41,5772"
6606,6779,Siluriformes,Pimelodidae,Steindachneridion parahybae,"-21,21","-41,93"
4145,4243,Siluriformes,Auchenipteridae,Trachelyopterus striatulus,"-22,3708","-41,7869"
3414,3489,Actinopterygii,Siluriformes,Microglanis,"-21,7932","-41,5493"
1584,1619,Actinopterygii,Siluriformes,Trachelyopterus,"-21,58","-42,1428"
5747,5879,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,2336","-41,5419"
2555,2602,Actinopterygii,Siluriformes,Hisonotus,"-21,9071","-41,7129"
1689,1724,Actinopterygii,Siluriformes,Scleromystax,"-22,6006","-43,0917"
5384,5504,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,1867","-41,4003"
5038,5149,Characiformes,Characidae,Sem informaçao,"-22,6364","-43,6173"
2739,2789,Actinopterygii,Siluriformes,Rineloricaria,"-21,58","-42,1428"
4512,4612,Characiformes,Characidae,Sem informaçao,"-22,6003","-43,2658"
2416,2459,Actinopterygii,Siluriformes,Loricariichthys,"-21,8","-41,5846"
1548,1583,Actinopterygii,Siluriformes,Glanidium,"-21,6372","-41,7577"
2431,2474,Actinopterygii,Siluriformes,Rineloricaria,"-21,6372","-41,7577"
5293,5409,Cichliformes,Cichlidae,Sem informação,"-22,2142","-41,4928"
6846,7042,Siluriformes,Pimelodidae,Pimelodus fur,"-22,0885","-43,0878"
2536,2583,Actinopterygii,Siluriformes,Hisonotus,"-22,426","-42,1742"
1969,2008,Actinopterygii,Characiformes,Hoplias,"-22,426","-42,1742"
3868,3958,Characiformes,Anostomidae,Leporinus copelandii,"-21,25","-41,75"
4595,4695,Characiformes,Characidae,Astyanax janeiroensis,"-21,2733","-41,3969"
5344,5464,Cichliformes,Cichlidae,Australoheros muriae,"-22,0242","-41,0731"
2345,2387,Actinopterygii,Siluriformes,Pimelodella,"-22,8942","-42,7941"
3846,3936,Characiformes,Anostomidae,Leporinus copelandii,"-21,6431","-41,7578"
5299,5415,Cichliformes,Cichlidae,Oreochromis niloticus,"-22,3678","-41,7775"
4026,4121,Characiformes,Anostomidae,Sem informaçao,"-21,6363","-41,0519"
4429,4529,Characiformes,Characidae,Sem informaçao,"-22,6422","-43,9425"
856,886,Actinopterygii,Siluriformes,Homodiaetus,"-22,3972","-42,095033"
1995,2034,Actinopterygii,Characiformes,Hoplias,"-21,6344","-42,0339"
2369,2412,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,5792","-43,4342"
2776,2826,Actinopterygii,Siluriformes,Hypostomus,"-22,4344","-44,025"
894,924,Actinopterygii,Siluriformes,Trichomycterus,"-22,24125","-42,088028"
4507,4607,Characiformes,Characidae,Bryconamericus tenuis,"-22,6167","-42,7167"
2250,2291,Actinopterygii,Siluriformes,Pimelodella,"-21,7174","-41,924"
4546,4646,Characiformes,Characidae,Sem informaçao,"-22,4796","-42,6573"
