ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3943,Tipula,Tipula,Genero,5,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3944,Tipula,Tipula,Genero,1,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3945,Tipula,Tipula,Genero,1,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3946,Tipula,Tipula,Genero,16,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3947,Tipula,Tipula,Genero,2,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3948,Tipula,Tipula,Genero,27,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,425,278","-44,621,667"
3949,Tipula,Tipula,Genero,23,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-446,125"
3950,Tipulidae,Tipulidae,Familia,4,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,356,389","-44,733,889"
3951,Tipulidae,Tipulidae,Familia,1,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3952,Tipulidae,Tipulidae,Familia,6,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3953,Tipulidae,Tipulidae,Familia,1,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,327,222","-44,644,444"
3954,Tipulidae,Tipulidae,Familia,1,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
3955,Tipulidae,Tipulidae,Familia,16,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,454,861","-42,999"
3956,Tipulidae,Tipulidae,Familia,60,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,450,528","-43,013,722"
3957,Tipulidae,Tipulidae,Familia,4,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,448,472","-43,013,194"
3958,Tipulidae,Tipulidae,Familia,806,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,240,319","-415,598"
3959,Tipulidae,Tipulidae,Familia,1,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Vila De Tarituba,Parati,Especie Nao Sensivel,"-23,043,889","-44,594,722"
3960,Tipulidae,Tipulidae,Familia,15,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3961,Tipulidae,Tipulidae,Familia,15,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,201,389","-414,925"
3962,Tipulidae,Tipulidae,Familia,9,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,953,611","-43,281,944"
3963,Tipulidae,Tipulidae,Familia,2,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,959,722","-43,275,833"
3964,Tipulidae,Tipulidae,Familia,22,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3965,Tipulidae,Tipulidae,Familia,116,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3966,Tipulidae,Tipulidae,Familia,116,Arthropoda,Insecta,Diptera,Tipulidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3967,Zelandotipula,Zelandotipula,Genero,1,Arthropoda,Insecta,Diptera,Tipulidae,Zelandotipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
