ID_,x_,y_,coliformes_termotolerantes,ph_,oxigenio_dissolvido,DBO_,temperatura_,nitrogenio_total,fosforo_total_,turbidez_,solidos_dissolvidos_totais
311,"-42,698471","-21,887862","35000,0","7,42","5,25",4,25,"1,7","0,03","20,5",44
312,"-43,063363","-22,112715","2800,0",7,"6,53",4,"22,04","3,7","0,01","69,8",43
313,"-42,926604","-22,230312","<1,8","7,02","7,16",3,"14,3","0,2","<0,003","0,5",18
314,"-43,017900","-22,369408","4,5","7,64","7,2",6,"12,1","1,3","<0,003","<0,1",10
315,"-43,027115","-22,369665","7,8","7,12","6,69",3,"13,01","0,7","<0,003","<0,1",11
316,"-43,000940","-22,312751","130,0","6,72","6,3",4,"14,09","0,3","<0,003","0,5",9
317,"-43,018390","-22,341691","130,0","6,2","7,09",3,"14,3","<0,1","<0,003","<0,1",11
318,"-42,778910","-22,252430","16000,0","7,26","5,1",10,19,"7,4","0,11","36,2",67
319,"-42,725262","-22,273326",>160000,"6,79","4,22",7,"20,1","4,1","0,08","3,5",60
320,"-42,737271","-22,291444","160000,0","6,8","5,01",2,"19,55","3,5","0,03","2,0",57
321,"-43,255461","-22,432922","230,0","7,02","6,97",2,"16,15","0,9","<0,003","0,3",13
322,"-43,269108","-22,470576","230,0","7,12","7,08",4,"19,8","1,5","<0,003","0,3",9
323,"-43,203585","-22,477103","23,0","7,09","6,6",3,"14,2","0,2","<0,003","0,4",11
324,"-43,192264","-22,507109",>160000,"7,05","1,4",9,"16,9","6,5","0,48","8,3",164
325,"-43,177401","-22,488937","54000,0","6,98","3,8",8,"15,8","9,7","0,61","3,6",160
326,"-43,151594","-22,474022","160000,0","7,01","5,22",15,"16,9","19,7","0,56","4,1",150
327,"-43,146821","-22,464186",>160000,"7,3","4,9",11,"16,4","12,4","0,61","3,9",152
328,"-43,143104","-22,457097",>160000,"7,33","4,7",11,"16,7","17,3","0,61","4,4",142
329,"-43,140281","-22,442224",>160000,"7,64","3,8",9,"17,7","9,9","0,65","1,4",172
330,"-43,132677","-22,423199",>160000,"6,59",2,9,"19,7",11,"0,63","6,0",140
331,"-43,135284","-22,403151",>160000,"6,41","2,7",12,"19,3","2,1","0,52","8,9",113
332,"-43,133380","-22,385640",>160000,"6,24","4,1",10,"18,5","2,1","0,15","9,3",50
333,"-43,131041","-22,379071",>160000,"6,15","2,8",14,"18,3","6,7","0,4","7,3",104
334,"-43,076507","-22,255282","2400,0","6,62","3,89",10,"18,7","6,2","0,42","7,5",86
335,"-43,104233","-22,231577","230,0","6,63","4,25",7,"18,97","3,3","0,22","8,1",57
336,"-43,175696","-22,177414","790,0","7,1","5,23",5,"20,77","3,2","0,17","8,8",62
337,"-43,143677","-22,126506","790,0","7,21","5,16",5,"20,48","2,5","0,16","7,4",54
