ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3917,Ephemeroptera,Ephemeroptera,Ordem,3,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,498,056","-43,073,331"
3918,Ephemeroptera,Ephemeroptera,Ordem,43,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,516,667","-42,983,333"
3919,Ephemeroptera,Ephemeroptera,Ordem,2,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,483,333","-42,983,333"
3920,Ephemeroptera,Ephemeroptera,Ordem,29,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,433,333","-42,983,333"
3921,Ephemeroptera,Ephemeroptera,Ordem,2,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,-22.45,-4.3E8
3922,Ephemeroptera,Ephemeroptera,Ordem,5,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Campo Dos Afonsos,Rio De Janeiro,Especie Nao Sensivel,"-22,876,942","-43,384,717"
3923,Ephemeroptera,Ephemeroptera,Ordem,5,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,953,611","-43,281,944"
3924,Ephemeroptera,Ephemeroptera,Ordem,6,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,959,722","-43,275,833"
3925,Ephemeroptera,Ephemeroptera,Ordem,5,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Campo Dos Afonsos,Rio De Janeiro,Especie Nao Sensivel,"-22,876,942","-43,384,719"
3926,Ephemeroptera,Ephemeroptera,Ordem,21,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,516,667","-42,983,333"
3927,Ephemeroptera,Ephemeroptera,Ordem,1,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,483,333","-42,983,333"
3928,Ephemeroptera,Ephemeroptera,Ordem,16,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,433,333","-42,983,333"
3929,Ephemeroptera,Ephemeroptera,Ordem,4,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,-22.45,-4.3E8
3930,Euthyplociidae,Euthyplociidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Euthyplociidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3931,Euthyplociidae,Euthyplociidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Euthyplociidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3932,Farrodes,Farrodes,Genero,29,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Farrodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
