LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
Aldeia Velha,-22.5,-42.269.442,Amphibia,Hypsiboas,Hylidae,Hypsiboas albopunctatus,128713,,,,,,,,,,,,,,,,,,,RJ,,128713
Aldeia Velha,-22.5,-42.269.444,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,128754,,,,,,,,,,,,,,,,,,,RJ,,128754
Aldeia Velha,-22.5,-42.269.442,Amphibia,Cycloramphus,Cycloramphidae,Cycloramphus fuliginosus,129025,,,,,,,,,,,,,,,,,,,RJ,,129025
Aldeia Velha,-22.5,-42.269.442,Amphibia,Scinax,Hylidae,Scinax humilis,129055,,,,,,,,,,,,,,,,,,,RJ,,129055
Aldeia Velha,-22.5,-42.269.442,Amphibia,Scinax,Hylidae,Scinax alter,129060,,,,,,,,,,,,,,,,,,,RJ,,129060
Aldeia Velha,-22.5,-42.269.442,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema guentheri,129062,,,,,,,,,,,,,,,,,,,RJ,,129062
Citrolandia,-22.656.667,-43.039.719,Amphibia,Scinax,Hylidae,Scinax cuspidatus,129254,,,,,,,,,,,,,,,,,,,RJ,,129254
Citrolandia,-22.656.667,-43.039.717,Amphibia,Scinax,Hylidae,Scinax alter,129272,,,,,,,,,,,,,,,,,,,RJ,,129272
Citrolandia,-22.656.667,-43.039.717,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,129291,,,,,,,,,,,,,,,,,,,RJ,,129291
Citrolandia,-22.656.667,-43.039.717,Amphibia,Sphaenorhynchus,Hylidae,Sphaenorhynchus planicola,129294,,,,,,,,,,,,,,,,,,,RJ,,129294
Citrolandia,-22.656.667,-43.039.717,Amphibia,Scinax,Hylidae,Scinax argyreornatus,129295,,,,,,,,,,,,,,,,,,,RJ,,129295
Citrolandia,-22.656.667,-43.039.717,Amphibia,Hypsiboas,Hylidae,Hypsiboas semilineatus,129297,,,,,,,,,,,,,,,,,,,RJ,,129297
Citrolandia,-225.325,-42.99,Amphibia,Euparkerella,Strabomantidae,Euparkerella cochranae,129368,,,,,,,,,,,,,,,,,,,RJ,,129368
Vale Da Revolta,-22.446.389,-42.948.889,Amphibia,Dendropsophus,Hylidae,Dendropsophus berthalutzae,127185,,,,,,,,,,,,,,,,,,,RJ,,127185
Regua,-22.429.167,-42.750.278,Amphibia,Dendropsophus,Hylidae,Dendropsophus pseudomeridianus,127328,,,,,,,,,,,,,,,,,,,RJ,,127328
Regua,-22.429.167,-42.750.278,Amphibia,Dendropsophus,Hylidae,Dendropsophus elegans,127329,,,,,,,,,,,,,,,,,,,RJ,,127329
Regua,-22.429.167,-42.750.278,Amphibia,Dendropsophus,Hylidae,Dendropsophus bipunctatus,127330,,,,,,,,,,,,,,,,,,,RJ,,127330
Regua,-22.429.167,-42.750.278,Amphibia,Scinax,Hylidae,Scinax alter,127340,,,,,,,,,,,,,,,,,,,RJ,,127340
